;cep;logradouro;complemento;unidade;bairro;localidade;uf;estado;regiao;ibge;gia;ddd;siafi
0;18410-295;Rua Fernando César Rodrigues de Oliveira;;;Conjunto Habitacional Tancredo Neves;Itapeva;SP;São Paulo;Sudeste;3522406;3724;15;6549
1;81200-424;Rua Constante de Conto;;;Orleans;Curitiba;PR;Paraná;Sul;4106902;;41;7535
